 time            v(c1_node)      v(c2_node)      v(c1_wl)        v(c1_bl)        v(c2_wl)        v(c2_bl)       
 5.00000000e-10  0.00000000e+00  0.00000000e+00  2.90011426e-04  0.00000000e+00  2.77921370e-04  1.66752822e-04 
 1.00000000e-09  0.00000000e+00  0.00000000e+00  5.80022853e-04  0.00000000e+00  5.55842741e-04  3.33505645e-04 
 2.00000000e-09  0.00000000e+00  0.00000000e+00  1.16004571e-03  0.00000000e+00  1.11168548e-03  6.67011289e-04 
 4.00000000e-09  0.00000000e+00  0.00000000e+00  2.32009141e-03  0.00000000e+00  2.22337096e-03  1.33402258e-03 
 8.00000000e-09  0.00000000e+00  0.00000000e+00  4.64018282e-03  0.00000000e+00  4.44674193e-03  2.66804516e-03 
 1.60000000e-08  0.00000000e+00  0.00000000e+00  9.28036565e-03  0.00000000e+00  8.89348386e-03  5.33609031e-03 
 3.20000000e-08  0.00000000e+00  0.00000000e+00  1.85607313e-02  0.00000000e+00  1.77869677e-02  1.06721806e-02 
 5.00000000e-08  0.00000000e+00  0.00000000e+00  2.90011426e-02  0.00000000e+00  2.77921370e-02  1.66752822e-02 
 5.32000000e-08  0.00000000e+00  0.00000000e+00  3.08572158e-02  0.00000000e+00  2.95708338e-02  1.77425003e-02 
 5.96000000e-08  0.00000000e+00  0.00000000e+00  3.45693620e-02  0.00000000e+00  3.31282274e-02  1.98769364e-02 
 7.24000000e-08  0.00000000e+00  0.00000000e+00  4.19936545e-02  0.00000000e+00  4.02430144e-02  2.41458087e-02 
 9.80000000e-08  0.00000000e+00  0.00000000e+00  5.68422396e-02  0.00000000e+00  5.44725886e-02  3.26835532e-02 
 1.48000000e-07  0.00000000e+00  0.00000000e+00  8.58433822e-02  0.00000000e+00  8.22647257e-02  4.93588354e-02 
 1.98000000e-07  0.00000000e+00  0.00000000e+00  1.14844525e-01  0.00000000e+00  1.10056863e-01  6.60341176e-02 
 2.48000000e-07  0.00000000e+00  0.00000000e+00  1.43845668e-01  0.00000000e+00  1.37849000e-01  8.27093999e-02 
 2.98000000e-07  0.00000000e+00  0.00000000e+00  1.72846810e-01  0.00000000e+00  1.65641137e-01  9.93846821e-02 
 3.48000000e-07  0.00000000e+00  0.00000000e+00  2.01847953e-01  0.00000000e+00  1.93433274e-01  1.16059964e-01 
 3.98000000e-07  0.00000000e+00  0.00000000e+00  2.30849095e-01  0.00000000e+00  2.21225411e-01  1.32735247e-01 
 4.48000000e-07  0.00000000e+00  0.00000000e+00  2.59850238e-01  0.00000000e+00  2.49017548e-01  1.49410529e-01 
 4.98000000e-07  0.00000000e+00  0.00000000e+00  2.88851381e-01  0.00000000e+00  2.76809685e-01  1.66085811e-01 
 5.48000000e-07  0.00000000e+00  0.00000000e+00  3.17852523e-01  0.00000000e+00  3.04601822e-01  1.82761093e-01 
 5.98000000e-07  0.00000000e+00  0.00000000e+00  3.46853666e-01  0.00000000e+00  3.32393959e-01  1.99436375e-01 
 6.48000000e-07  0.00000000e+00  0.00000000e+00  3.75854809e-01  0.00000000e+00  3.60186096e-01  2.16111658e-01 
 6.98000000e-07  0.00000000e+00  0.00000000e+00  4.04855951e-01  0.00000000e+00  3.87978233e-01  2.32786940e-01 
 7.48000000e-07  0.00000000e+00  0.00000000e+00  4.33857094e-01  0.00000000e+00  4.15770370e-01  2.49462222e-01 
 7.98000000e-07  0.00000000e+00  0.00000000e+00  4.62858237e-01  0.00000000e+00  4.43562507e-01  2.66137504e-01 
 8.48000000e-07  0.00000000e+00  0.00000000e+00  4.91859379e-01  0.00000000e+00  4.71354644e-01  2.82812787e-01 
 8.98000000e-07  0.00000000e+00  0.00000000e+00  5.20860522e-01  0.00000000e+00  4.99146781e-01  2.99488069e-01 
 9.48000000e-07  0.00000000e+00  0.00000000e+00  5.49861665e-01  0.00000000e+00  5.26938918e-01  3.16163351e-01 
 9.98000000e-07  0.00000000e+00  0.00000000e+00  5.78862807e-01  0.00000000e+00  5.54731055e-01  3.32838633e-01 
 1.04800000e-06  0.00000000e+00  0.00000000e+00  6.07863950e-01  0.00000000e+00  5.82523193e-01  3.49513916e-01 
 1.09800000e-06  0.00000000e+00  0.00000000e+00  6.36865092e-01  0.00000000e+00  6.10315330e-01  3.66189198e-01 
 1.14800000e-06  0.00000000e+00  0.00000000e+00  6.65866235e-01  0.00000000e+00  6.38107467e-01  3.82864480e-01 
 1.19800000e-06  0.00000000e+00  0.00000000e+00  6.94867378e-01  0.00000000e+00  6.65899604e-01  3.99539762e-01 
 1.24800000e-06  0.00000000e+00  0.00000000e+00  7.23868520e-01  0.00000000e+00  6.93691741e-01  4.16215044e-01 
 1.29800000e-06  7.67542722e-04  6.46610048e-03  7.52869663e-01  0.00000000e+00  7.21483878e-01  4.32890327e-01 
 1.34800000e-06  1.45674628e-03  2.66919780e-02  7.81870806e-01  0.00000000e+00  7.49276015e-01  4.49565609e-01 
 1.39800000e-06  1.12575960e-03  5.42664068e-02  8.10871948e-01  0.00000000e+00  7.77068152e-01  4.66240891e-01 
 1.44800000e-06  8.78704438e-04  8.19852458e-02  8.39873091e-01  0.00000000e+00  8.04860289e-01  4.82916173e-01 
 1.49800000e-06  7.51355291e-04  1.09700604e-01  8.68874234e-01  0.00000000e+00  8.32652426e-01  4.99591456e-01 
 1.54800000e-06  6.41110434e-04  1.37392745e-01  8.97875376e-01  0.00000000e+00  8.60444563e-01  5.16266738e-01 
 1.59800000e-06  5.75868246e-04  1.65093417e-01  9.26876519e-01  0.00000000e+00  8.88236700e-01  5.32942020e-01 
 1.64800000e-06  5.13107396e-04  1.92785121e-01  9.55877662e-01  0.00000000e+00  9.16028837e-01  5.49617302e-01 
 1.69800000e-06  4.73350859e-04  2.20482481e-01  9.84878804e-01  0.00000000e+00  9.43820974e-01  5.66292585e-01 
 1.74800000e-06  4.32810658e-04  2.48174916e-01  1.01387995e+00  0.00000000e+00  9.71613111e-01  5.82967867e-01 
 1.79800000e-06  4.06031094e-04  2.75871325e-01  1.04288109e+00  0.00000000e+00  9.99405248e-01  5.99643149e-01 
 1.84800000e-06  3.77678672e-04  3.03564674e-01  1.07188223e+00  0.00000000e+00  1.02719739e+00  6.16318431e-01 
 1.89800000e-06  3.58408904e-04  3.31260984e-01  1.10088337e+00  0.00000000e+00  1.05498952e+00  6.32993713e-01 
 1.94800000e-06  3.37463943e-04  3.58955251e-01  1.12988452e+00  0.00000000e+00  1.08278166e+00  6.49668996e-01 
 1.99800000e-06  3.22931599e-04  3.86651831e-01  1.15888566e+00  0.00000000e+00  1.11057380e+00  6.66344278e-01 
 2.04800000e-06  3.06825564e-04  4.14346984e-01  1.18788680e+00  0.00000000e+00  1.13836593e+00  6.83019560e-01 
 2.09800000e-06  2.95474034e-04  4.42044013e-01  1.21688795e+00  0.00000000e+00  1.16615807e+00  6.99694842e-01 
 2.14800000e-06  2.82703220e-04  4.69740015e-01  1.24588909e+00  0.00000000e+00  1.19395021e+00  7.16370125e-01 
 2.19800000e-06  2.73590800e-04  4.97437584e-01  1.27489023e+00  0.00000000e+00  1.22174234e+00  7.33045407e-01 
 2.24800000e-06  2.63216210e-04  5.25134403e-01  1.30389137e+00  0.00000000e+00  1.24953448e+00  7.49720689e-01 
 2.29800000e-06  2.55739660e-04  5.52832561e-01  1.33289252e+00  0.00000000e+00  1.27732662e+00  7.66395971e-01 
 2.34800000e-06  2.47144612e-04  5.80530166e-01  1.36189366e+00  0.00000000e+00  1.30511876e+00  7.83071253e-01 
 2.39800000e-06  2.40899587e-04  6.08228938e-01  1.39089480e+00  0.00000000e+00  1.33291089e+00  7.99746536e-01 
 2.44800000e-06  2.33662324e-04  6.35927302e-01  1.41989594e+00  0.00000000e+00  1.36070303e+00  8.16421818e-01 
 2.49800000e-06  2.28367627e-04  6.63626700e-01  1.44889709e+00  0.00000000e+00  1.38849517e+00  8.33097100e-01 
 2.54800000e-06  2.22189929e-04  6.91325799e-01  1.47789823e+00  0.00000000e+00  1.41628730e+00  8.49772382e-01 
 2.59800000e-06  2.17643932e-04  7.19025826e-01  1.50689937e+00  0.00000000e+00  1.44407944e+00  8.66447665e-01 
 2.64800000e-06  2.12308967e-04  7.46725639e-01  1.53590051e+00  0.00000000e+00  1.47187158e+00  8.83122947e-01 
 2.69800000e-06  2.08363326e-04  7.74426293e-01  1.56490166e+00  0.00000000e+00  1.49966372e+00  8.99798229e-01 
 2.74800000e-06  2.03709651e-04  8.02126800e-01  1.59390280e+00  0.00000000e+00  1.52745585e+00  9.16473511e-01 
 2.79800000e-06  2.00252788e-04  8.29828077e-01  1.62290394e+00  0.00000000e+00  1.55524799e+00  9.33148794e-01 
 2.84800000e-06  1.96157729e-04  8.57529260e-01  1.65190509e+00  0.00000000e+00  1.58304013e+00  9.49824076e-01 
 2.89800000e-06  1.93104107e-04  8.85231152e-01  1.68090623e+00  0.00000000e+00  1.61083226e+00  9.66499358e-01 
 2.94800000e-06  1.89472774e-04  9.12932994e-01  1.70990737e+00  0.00000000e+00  1.63862440e+00  9.83174640e-01 
 2.99800000e-06  1.86755719e-04  9.40635495e-01  1.73890851e+00  0.00000000e+00  1.66641654e+00  9.99849922e-01 
 3.04800000e-06  1.83513564e-04  9.68337979e-01  1.76790966e+00  0.00000000e+00  1.69420867e+00  1.01652520e+00 
 3.09800000e-06  1.81080332e-04  9.96041079e-01  1.79691080e+00  0.00000000e+00  1.72200081e+00  1.03320049e+00 
 3.14800000e-06  1.78167974e-04  1.02374419e+00  1.82591194e+00  0.00000000e+00  1.74979295e+00  1.04987577e+00 
 3.19800000e-06  1.66306918e-04  1.05010011e+00  1.85491308e+00  0.00000000e+00  1.77758509e+00  1.06655105e+00 
 3.24800000e-06  1.48493389e-04  1.07297515e+00  1.88391423e+00  0.00000000e+00  1.80537722e+00  1.08322633e+00 
 3.29800000e-06  1.39845177e-04  1.09275012e+00  1.91291537e+00  0.00000000e+00  1.83316936e+00  1.09990162e+00 
 3.34800000e-06  1.34647021e-04  1.11112134e+00  1.94191651e+00  0.00000000e+00  1.86096150e+00  1.11657690e+00 
 3.39800000e-06  1.31511283e-04  1.12883862e+00  1.97091765e+00  0.00000000e+00  1.88875363e+00  1.13325218e+00 
 3.44800000e-06  1.28731427e-04  1.14622014e+00  1.99991880e+00  0.00000000e+00  1.91654577e+00  1.14992746e+00 
 3.44814000e-06  1.28769895e-04  1.14626851e+00  2.00000000e+00  0.00000000e+00  1.91662359e+00  1.14997415e+00 
 3.44842000e-06  1.28802675e-04  1.14636523e+00  2.00000000e+00  0.00000000e+00  1.91677922e+00  1.15006753e+00 
 3.44898000e-06  1.28837274e-04  1.14655866e+00  2.00000000e+00  0.00000000e+00  1.91709050e+00  1.15025430e+00 
 3.45010000e-06  1.28845368e-04  1.14694539e+00  2.00000000e+00  0.00000000e+00  1.91771304e+00  1.15062782e+00 
 3.45234000e-06  1.28863725e-04  1.14771853e+00  2.00000000e+00  0.00000000e+00  1.91895813e+00  1.15137488e+00 
 3.45682000e-06  1.28904890e-04  1.14926356e+00  2.00000000e+00  0.00000000e+00  1.92144830e+00  1.15286898e+00 
 3.46578000e-06  1.28999649e-04  1.15234915e+00  2.00000000e+00  0.00000000e+00  1.92642865e+00  1.15585719e+00 
 3.48370000e-06  1.29216914e-04  1.15850473e+00  2.00000000e+00  0.00000000e+00  1.93638936e+00  1.16183361e+00 
