timestamp,cycle,phase,temp,freq,recovery_time,error_detected
1747126620,1,pulse,48,2703323,N/A,0
1747126625,1,recovery,41,2701905,5.003926389,0
1747126630,2,pulse,48,2698643,N/A,0
1747126635,2,recovery,40,2700288,5.003921371,0
1747126641,3,pulse,45,2700033,N/A,0
1747126646,3,recovery,41,2699971,5.003227962,0
1747126651,4,pulse,45,2700003,N/A,0
1747126656,4,recovery,40,2700075,5.003456481,0
1747126662,5,pulse,45,2700090,N/A,0
1747126667,5,recovery,42,2699978,5.002814533,0
1747126672,6,pulse,46,2700053,N/A,0
1747126677,6,recovery,42,2700016,5.003968488,0
1747126683,7,pulse,45,2701767,N/A,0
1747126688,7,recovery,41,2700031,5.002890943,0
1747126693,8,pulse,49,2699992,N/A,0
1747126698,8,recovery,42,2700214,5.003957158,0
1747126703,9,pulse,48,2700141,N/A,0
1747126708,9,recovery,41,2700000,5.003969764,0
1747126713,10,pulse,50,2700583,N/A,0
1747126718,10,recovery,42,2702329,5.003873119,0
