timestamp,cycle,phase,temp,bench_score,error_detected,corruption_detected
1747127342,1,potentiation,53,N/A,0,0
1747127353,1,depression,45,N/A,0,0
1747127365,2,potentiation,50,N/A,0,0
1747127376,2,depression,43,N/A,0,0
1747127388,3,potentiation,50,N/A,0,0
1747127399,3,depression,44,N/A,0,0
1747127411,4,potentiation,51,N/A,0,0
1747127422,4,depression,44,N/A,0,0
1747127433,5,potentiation,49,N/A,0,0
1747127444,5,depression,43,N/A,0,0
1747127455,6,potentiation,50,N/A,0,0
1747127466,6,depression,43,N/A,0,0
1747127478,7,potentiation,49,N/A,0,0
1747127489,7,depression,43,N/A,0,0
1747127500,8,potentiation,49,N/A,0,0
1747127511,8,depression,42,N/A,0,0
1747127523,9,potentiation,52,N/A,0,0
1747127534,9,depression,43,N/A,0,0
1747127546,10,potentiation,48,N/A,0,0
1747127557,10,depression,43,N/A,0,0
1747127568,11,potentiation,50,N/A,0,0
1747127579,11,depression,43,N/A,0,0
1747127590,12,potentiation,50,N/A,0,0
1747127601,12,depression,43,N/A,0,0
1747127613,13,potentiation,49,N/A,0,0
1747127624,13,depression,43,N/A,0,0
1747127637,14,potentiation,47,N/A,0,0
1747127648,14,depression,43,N/A,0,0
1747127659,15,potentiation,48,N/A,0,0
1747127670,15,depression,42,N/A,0,0
1747127681,16,potentiation,50,N/A,0,0
1747127692,16,depression,42,N/A,0,0
1747127704,17,potentiation,50,N/A,0,0
1747127715,17,depression,43,N/A,0,0
1747127727,18,potentiation,49,N/A,0,0
1747127738,18,depression,43,N/A,0,0
1747127749,19,potentiation,50,N/A,0,0
1747127760,19,depression,43,N/A,0,0
1747127772,20,potentiation,49,N/A,0,0
1747127783,20,depression,43,N/A,0,0
1747127795,21,potentiation,48,N/A,0,0
1747127806,21,depression,43,N/A,0,0
1747127817,22,potentiation,49,N/A,0,0
1747127828,22,depression,43,N/A,0,0
1747127840,23,potentiation,49,N/A,0,0
1747127851,23,depression,42,N/A,0,0
1747127862,24,potentiation,49,N/A,0,0
1747127873,24,depression,42,N/A,0,0
1747127885,25,potentiation,49,N/A,0,0
1747127896,25,depression,43,N/A,0,0
1747127907,26,potentiation,49,N/A,0,0
1747127918,26,depression,42,N/A,0,0
1747127929,27,potentiation,50,N/A,0,0
1747127940,27,depression,43,N/A,0,0
1747127952,28,potentiation,48,N/A,0,0
1747127963,28,depression,43,N/A,0,0
1747127974,29,potentiation,48,N/A,0,0
1747127985,29,depression,42,N/A,0,0
1747127996,30,potentiation,51,N/A,0,0
1747128008,30,depression,42,N/A,0,0
1747128019,31,potentiation,49,N/A,0,0
1747128030,31,depression,42,N/A,0,0
1747128042,32,potentiation,50,N/A,0,0
1747128053,32,depression,42,N/A,0,0
1747128064,33,potentiation,50,N/A,0,0
1747128075,33,depression,43,N/A,0,0
1747128087,34,potentiation,49,N/A,0,0
1747128098,34,depression,47,N/A,0,0
1747128109,35,potentiation,52,N/A,0,0
1747128120,35,depression,44,N/A,0,0
1747128131,36,potentiation,51,N/A,0,0
1747128143,36,depression,51,N/A,0,0
1747128154,37,potentiation,55,N/A,0,0
1747128165,37,depression,46,N/A,0,0
1747128176,38,potentiation,55,N/A,0,0
1747128187,38,depression,44,N/A,0,0
1747128199,39,potentiation,51,N/A,0,0
1747128210,39,depression,44,N/A,0,0
1747128221,40,potentiation,50,N/A,0,0
1747128232,40,depression,43,N/A,0,0
1747128243,41,potentiation,50,N/A,0,0
1747128254,41,depression,43,N/A,0,0
1747128265,42,potentiation,52,N/A,0,0
1747128276,42,depression,43,N/A,0,0
1747128287,43,potentiation,52,N/A,0,0
1747128298,43,depression,43,N/A,0,0
1747128310,44,potentiation,50,N/A,0,0
1747128321,44,depression,43,N/A,0,0
1747128332,45,potentiation,52,N/A,0,0
1747128343,45,depression,42,N/A,0,0
1747128355,46,potentiation,48,N/A,0,0
1747128366,46,depression,43,N/A,0,0
1747128377,47,potentiation,50,N/A,0,0
1747128388,47,depression,44,N/A,0,0
1747128399,48,potentiation,51,N/A,0,0
1747128410,48,depression,43,N/A,0,0
1747128422,49,potentiation,50,N/A,0,0
1747128433,49,depression,42,N/A,0,0
1747128444,50,potentiation,48,N/A,0,0
1747128455,50,depression,42,N/A,0,0
1747128466,50,retention_start,51,[11:27:36]   Running sysbench CPU benchmark...
[11:27:46]   3320.66 events/sec
3320.66,0,0
1747128476,50,retention_progress,51,[11:27:46]   Running sysbench CPU benchmark...
[11:27:56]   3325.04 events/sec
3325.04,0,0
1747128497,50,retention_progress,43,[11:28:06]   Running sysbench CPU benchmark...
[11:28:17]   3325.37 events/sec
3325.37,0,0
1747128516,50,retention_progress,42,[11:28:26]   Running sysbench CPU benchmark...
[11:28:36]   3326.50 events/sec
3326.50,0,0
