timestamp,cycle,phase,temp,freq,recovery_time,error_detected
1747131151,1,pulse,54,2701790,N/A,0
1747131156,1,recovery,46,2700025,5.003943491,0
1747131162,2,pulse,49,2700033,N/A,0
1747131167,2,recovery,46,2702110,5.002552340,0
1747131172,3,pulse,53,2700093,N/A,0
1747131177,3,recovery,45,2700009,5.002745591,0
1747131182,4,pulse,52,2700161,N/A,0
1747131187,4,recovery,44,2700929,5.003878465,0
1747131192,5,pulse,54,2700084,N/A,0
1747131197,5,recovery,45,2700033,5.003968293,0
1747131202,6,pulse,53,2700236,N/A,0
1747131207,6,recovery,45,2700078,5.003063287,0
1747131212,7,pulse,52,2700004,N/A,0
1747131217,7,recovery,45,2701842,5.003042296,0
1747131222,8,pulse,52,2698177,N/A,0
1747131227,8,recovery,45,2700943,5.003778855,0
1747131232,9,pulse,52,2700432,N/A,0
1747131237,9,recovery,45,2700015,5.003848462,0
1747131243,10,pulse,48,2700008,N/A,0
1747131248,10,recovery,46,2699993,5.003917749,0
