timestamp,cycle,phase,temp,bench_score,error_detected,corruption_detected,ipc,l1d_misses_pmc,llc_misses_pmc,branch_misses_pmc,mbw_score_mbps,ecc_ce_count,ecc_ue_count
1747158966,1,potentiation,47.0,3322.58,0,0,N/A,5241834,116745,231354672,7762.95,N/A,N/A
1747159003,1,depression,45.0,3321.61,0,0,N/A,5560494,121710,236877316,7731.80,N/A,N/A
1747159041,2,potentiation,46.0,3323.36,0,0,N/A,5377068,119128,230362736,7725.65,N/A,N/A
1747159078,2,depression,46.0,3322.72,0,0,N/A,5646910,122195,231764499,7736.07,N/A,N/A
1747159116,3,potentiation,47.0,3324.08,0,0,N/A,5012707,112608,234965962,7735.34,N/A,N/A
1747159153,3,depression,47.0,3322.47,0,0,N/A,5247290,125286,234629660,7766.30,N/A,N/A
1747159191,4,potentiation,47.0,3324.62,0,0,N/A,5523416,112273,232939359,7656.80,N/A,N/A
1747159228,4,depression,46.0,3322.62,0,0,N/A,5301736,123695,234787208,7723.27,N/A,N/A
1747159266,5,potentiation,47.0,3325.89,0,0,N/A,5705033,121192,239016664,7732.91,N/A,N/A
1747159303,5,depression,46.0,3324.92,0,0,N/A,5483677,115783,238609674,7768.04,N/A,N/A
1747159341,6,potentiation,48.0,3324.86,0,0,N/A,5312044,123080,234182615,7729.70,N/A,N/A
1747159378,6,depression,45.0,3325.19,0,0,N/A,5624349,116371,235981827,7728.92,N/A,N/A
1747159416,7,potentiation,47.0,3327.70,0,0,N/A,5538383,116498,230304447,7726.69,N/A,N/A
1747159453,7,depression,46.0,3324.15,0,0,N/A,5834079,116936,240453064,7726.77,N/A,N/A
1747159491,8,potentiation,48.0,3325.97,0,0,N/A,5864969,127857,228771305,7649.51,N/A,N/A
1747159528,8,depression,45.0,3324.58,0,0,N/A,5688595,118366,231936508,7645.95,N/A,N/A
1747159567,9,potentiation,47.0,3322.73,0,0,N/A,5444634,129681,233060910,7567.56,N/A,N/A
1747159604,9,depression,46.0,3321.31,0,0,N/A,5624330,116791,237076984,7605.72,N/A,N/A
1747159641,10,potentiation,48.0,3330.28,0,0,N/A,5478048,115599,234997572,7601.04,N/A,N/A
1747159679,10,depression,47.0,3323.98,0,0,N/A,5527772,117149,230960020,7652.10,N/A,N/A
1747159708,10,retention_start,47.0,3325.08,0,0,N/A,5499411,114364,238691170,7612.49,N/A,N/A
1747159747,10,retention_progress,47.0,3322.51,0,0,N/A,5695357,115663,240402359,7605.08,N/A,N/A
