timestamp,cycle,phase,pulse_or_elapsed,bench_score,percent_of_baseline,ipc,l1d_misses_pmc,llc_misses_pmc,branch_misses_pmc,mbw_score_mbps,ecc_ce_count,ecc_ue_count
1747158466,1,start,0,3325.07,100.02,N/A,5069568,116033,239433097,7687.44,N/A,N/A
1747158496,1,potentiation,1,3331.32,100.20,N/A,5492941,114584,241128671,7721.45,N/A,N/A
1747158526,1,potentiation,2,3323.32,99.96,N/A,5464785,126614,236639859,7656.33,N/A,N/A
1747158556,1,potentiation,3,3326.70,100.06,N/A,5590139,118542,236454023,7760.19,N/A,N/A
1747158588,1,depression,1,3327.34,100.08,N/A,5179756,121334,238114048,7623.68,N/A,N/A
1747158620,1,depression,2,3322.99,99.95,N/A,5338030,113504,234909192,7611.50,N/A,N/A
1747158652,1,depression,3,3322.88,99.95,N/A,5357733,116775,242603968,7733.98,N/A,N/A
1747158681,1,forget,0,3321.32,99.90,N/A,5446313,116701,244244284,7763.40,N/A,N/A
1747158711,2,start,0,3324.16,99.99,N/A,5894041,120852,241052074,7708.24,N/A,N/A
1747158742,2,potentiation,1,3323.49,99.97,N/A,5095379,112584,244516474,7740.30,N/A,N/A
1747158772,2,potentiation,2,3320.64,99.88,N/A,5383132,116174,238125556,7671.66,N/A,N/A
1747158802,2,potentiation,3,3322.52,99.94,N/A,5037430,119699,245348499,7755.00,N/A,N/A
1747158834,2,depression,1,3319.38,99.84,N/A,5315287,123396,236148421,7753.99,N/A,N/A
1747158866,2,depression,2,3325.15,100.02,N/A,5367172,123630,235189315,7738.45,N/A,N/A
1747158898,2,depression,3,3324.26,99.99,N/A,5303516,115851,236096341,7611.59,N/A,N/A
1747158927,2,forget,0,3322.81,99.95,N/A,5225221,112410,237474696,7683.46,N/A,N/A
