event,round,region_mb,entropy,flips
REGION,1000000,0,0.00000,0
REGION,1000000,1,0.00000,0
REGION,1000000,2,0.00000,0
REGION,1000000,3,0.00000,0
REGION,1000000,4,0.00000,0
REGION,1000000,5,0.00000,0
REGION,1000000,6,0.00000,0
REGION,1000000,7,0.00000,0
REGION,1000000,8,0.00000,0
REGION,1000000,9,0.00000,0
REGION,1000000,10,0.00000,0
REGION,1000000,11,0.00000,0
REGION,1000000,12,0.00000,0
REGION,1000000,13,0.00000,0
REGION,1000000,14,0.00000,0
REGION,1000000,15,0.00000,0
REGION,1000000,16,0.00000,0
REGION,1000000,17,0.00000,0
REGION,1000000,18,0.00000,0
REGION,1000000,19,0.00000,0
REGION,1000000,20,0.00000,0
REGION,1000000,21,0.00000,0
REGION,1000000,22,0.00000,0
REGION,1000000,23,0.00000,0
REGION,1000000,24,0.00000,0
REGION,1000000,25,0.00000,0
REGION,1000000,26,0.00000,0
REGION,1000000,27,0.00000,0
REGION,1000000,28,0.00000,0
REGION,1000000,29,0.00000,0
REGION,1000000,30,0.00000,0
REGION,1000000,31,0.00000,0
REGION,1000000,32,0.00000,0
REGION,1000000,33,0.00000,0
REGION,1000000,34,0.00000,0
REGION,1000000,35,0.00000,0
REGION,1000000,36,0.00000,0
REGION,1000000,37,0.00000,0
REGION,1000000,38,0.00000,0
REGION,1000000,39,0.00000,0
REGION,1000000,40,0.00000,0
REGION,1000000,41,0.00000,0
REGION,1000000,42,0.00000,0
REGION,1000000,43,0.00000,0
REGION,1000000,44,0.00000,0
REGION,1000000,45,0.00000,0
REGION,1000000,46,0.00000,0
REGION,1000000,47,0.00000,0
REGION,1000000,48,0.00000,0
REGION,1000000,49,0.00000,0
REGION,1000000,50,0.00000,0
REGION,1000000,51,0.00000,0
REGION,1000000,52,0.00000,0
REGION,1000000,53,0.00000,0
REGION,1000000,54,0.00000,0
REGION,1000000,55,0.00000,0
REGION,1000000,56,0.00000,0
REGION,1000000,57,0.00000,0
REGION,1000000,58,0.00000,0
REGION,1000000,59,0.00000,0
REGION,1000000,60,0.00000,0
REGION,1000000,61,0.00000,0
REGION,1000000,62,0.00000,0
REGION,1000000,63,0.00000,0
REGION,2000000,0,0.00000,0
REGION,2000000,1,0.00000,0
REGION,2000000,2,0.00000,0
REGION,2000000,3,0.00000,0
REGION,2000000,4,0.00000,0
REGION,2000000,5,0.00000,0
REGION,2000000,6,0.00000,0
REGION,2000000,7,0.00000,0
REGION,2000000,8,0.00000,0
REGION,2000000,9,0.00000,0
REGION,2000000,10,0.00000,0
REGION,2000000,11,0.00000,0
REGION,2000000,12,0.00000,0
REGION,2000000,13,0.00000,0
REGION,2000000,14,0.00000,0
REGION,2000000,15,0.00000,0
REGION,2000000,16,0.00000,0
REGION,2000000,17,0.00000,0
REGION,2000000,18,0.00000,0
REGION,2000000,19,0.00000,0
REGION,2000000,20,0.00000,0
REGION,2000000,21,0.00000,0
REGION,2000000,22,0.00000,0
REGION,2000000,23,0.00000,0
REGION,2000000,24,0.00000,0
REGION,2000000,25,0.00000,0
REGION,2000000,26,0.00000,0
REGION,2000000,27,0.00000,0
REGION,2000000,28,0.00000,0
REGION,2000000,29,0.00000,0
REGION,2000000,30,0.00000,0
REGION,2000000,31,0.00000,0
REGION,2000000,32,0.00000,0
REGION,2000000,33,0.00000,0
REGION,2000000,34,0.00000,0
REGION,2000000,35,0.00000,0
REGION,2000000,36,0.00000,0
REGION,2000000,37,0.00000,0
REGION,2000000,38,0.00000,0
REGION,2000000,39,0.00000,0
REGION,2000000,40,0.00000,0
REGION,2000000,41,0.00000,0
REGION,2000000,42,0.00000,0
REGION,2000000,43,0.00000,0
REGION,2000000,44,0.00000,0
REGION,2000000,45,0.00000,0
REGION,2000000,46,0.00000,0
REGION,2000000,47,0.00000,0
REGION,2000000,48,0.00000,0
REGION,2000000,49,0.00000,0
REGION,2000000,50,0.00000,0
REGION,2000000,51,0.00000,0
REGION,2000000,52,0.00000,0
REGION,2000000,53,0.00000,0
REGION,2000000,54,0.00000,0
REGION,2000000,55,0.00000,0
REGION,2000000,56,0.00000,0
REGION,2000000,57,0.00000,0
REGION,2000000,58,0.00000,0
REGION,2000000,59,0.00000,0
REGION,2000000,60,0.00000,0
REGION,2000000,61,0.00000,0
REGION,2000000,62,0.00000,0
REGION,2000000,63,0.00000,0
