timestamp,cycle,phase,temp,freq,recovery_time,error_detected
1747129179,1,pulse,51,2700014,N/A,0
1747129184,1,recovery,42,2699986,5.003884899,0
1747129189,2,pulse,51,2701983,N/A,0
1747129194,2,recovery,42,2701434,5.003077953,0
1747129200,3,pulse,46,2699937,N/A,0
1747129205,3,recovery,42,2701086,5.003911560,0
1747129211,4,pulse,45,2700086,N/A,0
1747129216,4,recovery,42,2699989,5.003930408,0
1747129221,5,pulse,46,2699960,N/A,0
1747129226,5,recovery,42,2700000,5.003048168,0
1747129232,6,pulse,48,2700244,N/A,0
1747129237,6,recovery,42,2699541,5.003927209,0
1747129242,7,pulse,49,2700012,N/A,0
1747129247,7,recovery,42,2700004,5.003908478,0
1747129252,8,pulse,47,2700602,N/A,0
1747129257,8,recovery,42,2700027,5.003024567,0
1747129262,9,pulse,50,2702858,N/A,0
1747129267,9,recovery,41,2700585,5.003873229,0
1747129272,10,pulse,45,2699970,N/A,0
1747129277,10,recovery,42,2700026,5.003409787,0
