timestamp,cycle,phase,temp,bench_score,percent_of_baseline,error_detected,corruption_detected,datetime
1747131882,1,potentiation,56.0,3327.41,100.24553665576062,0,0,2025-05-13 10:24:42
1747131925,2,potentiation,55.0,3323.39,100.12442532371672,0,0,2025-05-13 10:25:25
1747131967,3,potentiation,57.0,3326.32,100.21269801100246,0,0,2025-05-13 10:26:07
1747132010,4,potentiation,54.0,3323.28,100.12111133204388,0,0,2025-05-13 10:26:50
1747132053,5,potentiation,55.0,3320.7,100.0433831637172,0,0,2025-05-13 10:27:33
1747132095,6,potentiation,56.0,2545.17,76.67883805426511,0,0,2025-05-13 10:28:15
1747132137,7,potentiation,56.0,3324.09,100.14551436163481,0,0,2025-05-13 10:28:57
1747132180,8,potentiation,54.0,3326.17,100.20817893144857,0,0,2025-05-13 10:29:40
1747132223,9,potentiation,55.0,3324.65,100.16238559196928,0,0,2025-05-13 10:30:23
1747132265,10,potentiation,57.0,3322.95,100.11116935702535,0,0,2025-05-13 10:31:05
1747132308,11,potentiation,55.0,3321.98,100.08194597591029,0,0,2025-05-13 10:31:48
1747132350,12,potentiation,57.0,3324.56,100.15967414423696,0,0,2025-05-13 10:32:30
1747132392,13,potentiation,57.0,3324.94,100.17112247910677,0,0,2025-05-13 10:33:12
1747132435,14,potentiation,57.0,3325.53,100.18889752535203,0,0,2025-05-13 10:33:55
1747132477,15,potentiation,56.0,3327.13,100.23710104059337,0,0,2025-05-13 10:34:37
1747132520,16,potentiation,56.0,3327.72,100.25487608683864,0,0,2025-05-13 10:35:20
1747132562,17,potentiation,56.0,3320.55,100.03886408416334,0,0,2025-05-13 10:36:02
1747132604,18,potentiation,56.0,3323.36,100.12352150780595,0,0,2025-05-13 10:36:44
1747132647,19,potentiation,56.0,3322.68,100.10303501382838,0,0,2025-05-13 10:37:27
1747132689,20,potentiation,57.0,3321.11,100.05573531449781,0,0,2025-05-13 10:38:09
1747132732,21,potentiation,55.0,3323.62,100.13135457903266,0,0,2025-05-13 10:38:52
1747132775,22,potentiation,56.0,3317.6,99.94998885293708,0,0,2025-05-13 10:39:35
1747132817,23,potentiation,57.0,3324.49,100.15756524044515,0,0,2025-05-13 10:40:17
1747132860,24,potentiation,55.0,3324.99,100.17262883895808,0,0,2025-05-13 10:41:00
1747132902,25,potentiation,57.0,3321.59,100.07019636907022,0,0,2025-05-13 10:41:42
1747132945,26,potentiation,56.0,3318.59,99.97981477799269,0,0,2025-05-13 10:42:25
1747132988,27,potentiation,57.0,3326.52,100.21872345040761,0,0,2025-05-13 10:43:08
1747133031,28,potentiation,57.0,3319.92,100.01988395003704,0,0,2025-05-13 10:43:51
1747133073,29,potentiation,56.0,3317.25,99.93944433397805,0,0,2025-05-13 10:44:33
1747133116,30,potentiation,57.0,3324.76,100.16569958364214,0,0,2025-05-13 10:45:16
1747133159,31,potentiation,56.0,3322.25,100.09008031910727,0,0,2025-05-13 10:45:59
1747133202,32,potentiation,57.0,3324.53,100.15877032832618,0,0,2025-05-13 10:46:42
1747133244,33,potentiation,55.0,3322.9,100.10966299717407,0,0,2025-05-13 10:47:24
1747133286,34,potentiation,56.0,3326.72,100.22474888981279,0,0,2025-05-13 10:48:06
1747133329,35,potentiation,58.0,3328.43,100.27626639672698,0,0,2025-05-13 10:48:49
1747133371,36,potentiation,55.0,3324.36,100.1536487048318,0,0,2025-05-13 10:49:31
1747133414,37,potentiation,57.0,3323.38,100.12412405174646,0,0,2025-05-13 10:50:14
1747133456,38,potentiation,57.0,3328.1,100.26632442170845,0,0,2025-05-13 10:50:56
1747133498,39,potentiation,55.0,3324.86,100.16871230334472,0,0,2025-05-13 10:51:38
1747133541,40,potentiation,56.0,3325.31,100.18226954200635,0,0,2025-05-13 10:52:21
1747133584,41,potentiation,55.0,3323.99,100.14250164193224,0,0,2025-05-13 10:53:04
1747133626,42,potentiation,57.0,3324.89,100.16961611925548,0,0,2025-05-13 10:53:46
1747133668,43,potentiation,55.0,3324.83,100.16780848743394,0,0,2025-05-13 10:54:28
1747133711,44,potentiation,55.0,3325.67,100.19311533293565,0,0,2025-05-13 10:55:11
1747133753,45,potentiation,55.0,3325.95,100.20155094810288,0,0,2025-05-13 10:55:53
1747133796,46,potentiation,55.0,3326.05,100.20456366780547,0,0,2025-05-13 10:56:36
1747133838,47,potentiation,57.0,3322.73,100.10454137367968,0,0,2025-05-13 10:57:18
1747133881,48,potentiation,55.0,3321.79,100.07622180847537,0,0,2025-05-13 10:58:01
1747133923,49,potentiation,57.0,3320.21,100.02862083717454,0,0,2025-05-13 10:58:43
1747133966,50,potentiation,55.0,3322.97,100.11177190096588,0,0,2025-05-13 10:59:26
1747133998,50,retention_start,55.0,3323.23,100.11960497219259,0,0,2025-05-13 10:59:58
1747134028,50,retention_progress,46.0,3322.38,100.09399685472063,0,0,2025-05-13 11:00:28
1747134068,50,retention_end,53.0,3321.17,100.05754294631937,0,0,2025-05-13 11:01:08
