timestamp,cycle,phase,temp,bench_score,error_detected,corruption_detected,datetime
1747131882,1,potentiation,56.0,3327.41,0,0,2025-05-13 10:24:42
1747131925,2,potentiation,55.0,3323.39,0,0,2025-05-13 10:25:25
1747131967,3,potentiation,57.0,3326.32,0,0,2025-05-13 10:26:07
1747132010,4,potentiation,54.0,3323.28,0,0,2025-05-13 10:26:50
1747132053,5,potentiation,55.0,3320.7,0,0,2025-05-13 10:27:33
1747132095,6,potentiation,56.0,2545.17,0,0,2025-05-13 10:28:15
1747132137,7,potentiation,56.0,3324.09,0,0,2025-05-13 10:28:57
1747132180,8,potentiation,54.0,3326.17,0,0,2025-05-13 10:29:40
1747132223,9,potentiation,55.0,3324.65,0,0,2025-05-13 10:30:23
1747132265,10,potentiation,57.0,3322.95,0,0,2025-05-13 10:31:05
1747132308,11,potentiation,55.0,3321.98,0,0,2025-05-13 10:31:48
1747132350,12,potentiation,57.0,3324.56,0,0,2025-05-13 10:32:30
1747132392,13,potentiation,57.0,3324.94,0,0,2025-05-13 10:33:12
1747132435,14,potentiation,57.0,3325.53,0,0,2025-05-13 10:33:55
1747132477,15,potentiation,56.0,3327.13,0,0,2025-05-13 10:34:37
1747132520,16,potentiation,56.0,3327.72,0,0,2025-05-13 10:35:20
1747132562,17,potentiation,56.0,3320.55,0,0,2025-05-13 10:36:02
1747132604,18,potentiation,56.0,3323.36,0,0,2025-05-13 10:36:44
1747132647,19,potentiation,56.0,3322.68,0,0,2025-05-13 10:37:27
1747132689,20,potentiation,57.0,3321.11,0,0,2025-05-13 10:38:09
1747132732,21,potentiation,55.0,3323.62,0,0,2025-05-13 10:38:52
1747132775,22,potentiation,56.0,3317.6,0,0,2025-05-13 10:39:35
1747132817,23,potentiation,57.0,3324.49,0,0,2025-05-13 10:40:17
1747132860,24,potentiation,55.0,3324.99,0,0,2025-05-13 10:41:00
1747132902,25,potentiation,57.0,3321.59,0,0,2025-05-13 10:41:42
1747132945,26,potentiation,56.0,3318.59,0,0,2025-05-13 10:42:25
1747132988,27,potentiation,57.0,3326.52,0,0,2025-05-13 10:43:08
1747133031,28,potentiation,57.0,3319.92,0,0,2025-05-13 10:43:51
1747133073,29,potentiation,56.0,3317.25,0,0,2025-05-13 10:44:33
1747133116,30,potentiation,57.0,3324.76,0,0,2025-05-13 10:45:16
1747133159,31,potentiation,56.0,3322.25,0,0,2025-05-13 10:45:59
1747133202,32,potentiation,57.0,3324.53,0,0,2025-05-13 10:46:42
1747133244,33,potentiation,55.0,3322.9,0,0,2025-05-13 10:47:24
1747133286,34,potentiation,56.0,3326.72,0,0,2025-05-13 10:48:06
1747133329,35,potentiation,58.0,3328.43,0,0,2025-05-13 10:48:49
1747133371,36,potentiation,55.0,3324.36,0,0,2025-05-13 10:49:31
1747133414,37,potentiation,57.0,3323.38,0,0,2025-05-13 10:50:14
1747133456,38,potentiation,57.0,3328.1,0,0,2025-05-13 10:50:56
1747133498,39,potentiation,55.0,3324.86,0,0,2025-05-13 10:51:38
1747133541,40,potentiation,56.0,3325.31,0,0,2025-05-13 10:52:21
1747133584,41,potentiation,55.0,3323.99,0,0,2025-05-13 10:53:04
1747133626,42,potentiation,57.0,3324.89,0,0,2025-05-13 10:53:46
1747133668,43,potentiation,55.0,3324.83,0,0,2025-05-13 10:54:28
1747133711,44,potentiation,55.0,3325.67,0,0,2025-05-13 10:55:11
1747133753,45,potentiation,55.0,3325.95,0,0,2025-05-13 10:55:53
1747133796,46,potentiation,55.0,3326.05,0,0,2025-05-13 10:56:36
1747133838,47,potentiation,57.0,3322.73,0,0,2025-05-13 10:57:18
1747133881,48,potentiation,55.0,3321.79,0,0,2025-05-13 10:58:01
1747133923,49,potentiation,57.0,3320.21,0,0,2025-05-13 10:58:43
1747133966,50,potentiation,55.0,3322.97,0,0,2025-05-13 10:59:26
1747133998,50,retention_start,55.0,3323.23,0,0,2025-05-13 10:59:58
1747134028,50,retention_progress,46.0,3322.38,0,0,2025-05-13 11:00:28
1747134068,50,retention_end,53.0,3321.17,0,0,2025-05-13 11:01:08
